device_id,device_name,timestamp,power_draw_kw
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:20:00",42.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:25:00",42.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:30:00",42.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:35:00",42.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:40:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:45:00",29.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:50:00",1.23
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 06:55:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:00:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:05:00",32.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:10:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:15:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:20:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:25:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:30:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:35:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:40:00",23.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:45:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:50:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 07:55:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:00:00",37.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:05:00",41.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:10:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:15:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:20:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:25:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:30:00",17.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:35:00",1.22
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:40:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:45:00",24.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:50:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 08:55:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:00:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:05:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:10:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:15:00",25.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:20:00",1.22
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:25:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:30:00",5.89
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:35:00",42.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:40:00",42.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:45:00",42.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:50:00",25.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 09:55:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:00:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:05:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:15:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:20:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:25:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:30:00",9.27
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:35:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:40:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:45:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:50:00",33.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 10:55:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:00:00",21.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:05:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:10:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:15:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:20:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:25:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:30:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:35:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:40:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 11:45:00",41.8
